soil_pH,nitrogen,phosphorus,potassium,temperature,humidity,rainfall,crop_age_days,sunlight_hours,disease
5.872700594236813,52.30971458533779,102.19976353859585,89.34023957210435,20.461921442154576,87.77892621571358,222.46656093527858,31.0,7.746515212754457,Fungal_Disease
8.75357153204958,46.607693472396456,25.83167938381962,64.30094349478703,13.318622130672031,59.561363497549635,264.3305625288951,110.0,10.93519007833374,Healthy
7.659969709057026,24.66154775040041,48.529557211784066,135.02979348095172,14.422572874027558,35.63724885057486,138.9539626137003,91.0,3.9727235256658107,Healthy
6.993292420985183,85.01733381420831,92.85928916009455,30.656983137793347,16.323489486332264,78.93134292880741,86.75361950202227,71.0,8.763046951793129,Healthy
4.780093202212183,66.72738247120805,67.49250823342719,82.2998982398517,17.127866702773193,53.494250854663655,95.65397230663845,113.0,2.9309390788878957,Healthy
4.779972601681013,121.19813892536051,103.39994540888513,98.02940209863117,18.479163322369043,67.57019867619977,209.08447750931816,118.0,7.457965810226035,Healthy
4.290418060840997,4.495341267488156,134.56910617120036,115.57902850835343,18.941101013722303,28.581223213915106,170.26741019744887,63.0,8.760748468102914,Nutrient_Deficiency
8.330880728874677,90.1415098577177,16.31653628012765,56.97594425992099,25.950072092063756,70.52671916127937,145.94823929317715,107.0,8.708947918824519,Healthy
7.005575058716044,106.81284299161855,99.33948029572853,96.16906707204741,27.835061678911444,49.884039115609944,60.83222363285221,69.0,9.382449782298869,Healthy
7.540362888980227,106.32811968636298,32.248181788496034,42.44820599379959,20.81077228442246,46.73517997747956,262.636706249671,118.0,6.1737379960799466,Healthy
4.102922471479012,124.05035539337351,58.026741837059696,60.96665293065484,41.755374697225484,98.3932463022241,234.30613425222182,47.0,9.600261249606556,Bacterial_Disease
8.849549260809972,102.06472399612917,4.600781611319576,125.38779836847588,29.35989031686341,54.59445142081978,42.19158052176888,39.0,6.728944530832562,Healthy
8.162213204002109,129.89340863067747,19.027033520977852,132.9870653063336,37.56169248116924,74.24307024925874,110.21653638064099,11.0,5.229188699709322,Healthy
5.061695553391381,46.57192397492481,44.76882046684595,100.63442856981706,42.348324134729516,70.21820284590729,162.63962809166742,29.0,5.219551468293959,Healthy
4.909124836035503,70.44931834521603,47.87801274031789,52.4092647086659,15.709729010153183,28.344284070812613,136.30158683145962,53.0,3.756711529431464,Healthy
4.917022549267169,1.9711528596046946,125.94193030469341,114.80809059645297,24.97560693004721,79.8342029651453,119.33875162132152,89.0,9.205764514179917,Fungal_Disease
5.521211214797688,0.9740622224607698,103.85380729731212,3.6213914415588255,25.162364060011306,45.85273627468612,215.6495692681588,77.0,3.5762734209095486,Healthy
6.623782158161189,33.61772686321279,136.10561554618576,14.384427475518947,22.406528765342397,83.9151639357388,16.351051271351235,86.0,8.362127872923423,Fungal_Disease
6.159725093210579,14.113007599471937,83.87001144693367,92.59232309255056,10.311705329307397,68.6112626092306,141.42310173778256,87.0,8.653613387012587,Healthy
5.456145700990209,36.429591511005505,33.83992249278452,40.77480053780804,38.559023772233324,45.36731919627917,78.65450711688041,18.0,4.866349132604713,Healthy
7.059264473611897,24.786061233975637,45.87170418903,133.19407057606688,13.904576254386598,48.503436826485675,25.385515570427685,117.0,6.886293372551358,Healthy
4.697469303260209,3.9928034774107535,44.777029260875395,61.04848569292266,44.841820927261566,78.52058957330885,139.46614740088967,23.0,8.709227782331007,Nutrient_Deficiency
